resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-035/,SAME-AS,/orgs/PIH/sources/PIH/,13330,Mastitis-Postpartum,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-036/,SAME-AS,/orgs/PIH/sources/PIH/,516,Pale conjunctiva,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-037/,SAME-AS,/orgs/PIH/sources/PIH/,12621,Irregular heartbeat,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-039/,SAME-AS,/orgs/PIH/sources/PIH/,133,Goiter,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-040/,SAME-AS,/orgs/PIH/sources/PIH/,161,Lymphadenopathy,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-041/,SAME-AS,/orgs/PIH/sources/PIH/,14623,Wheezing during clinical exam,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-042/,SAME-AS,/orgs/PIH/sources/PIH/,3239,Crackles,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-043/,SAME-AS,/orgs/PIH/sources/PIH/,5008,Hepatomegaly,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-044/,SAME-AS,/orgs/PIH/sources/PIH/,5009,Splenomegaly,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-045/,SAME-AS,/orgs/PIH/sources/PIH/,5245,Pallor,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-046/,SAME-AS,/orgs/PIH/sources/PIH/,12250,Peripheral edema,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-047/,SAME-AS,/orgs/PIH/sources/PIH/,12249,Lower extremity edema,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-048/,SAME-AS,/orgs/PIH/sources/PIH/,773,Ferrous sulphate + Folic acid,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-049/,SAME-AS,/orgs/PIH/sources/PIH/,244,Mebendazole,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-PRE-050/,SAME-AS,/orgs/PIH/sources/PIH/,257,Folic acid,high
