resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-001,Diagnosis,Boolean,Pulmonary tuberculosis,Pulmonary tuberculosis,Diagnosis,TuberculosisDiagnosis.TuberculosisPulmonary,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-002,Diagnosis,Coded,Extra-pulmonary tuberculosis,Extrapulmonary tuberculosis,Diagnosis,TuberculosisDiagnosis.TuberculosisExtrapulmonary,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-003,Diagnosis,N/A,Fatigue,Severe fatigue (used for TB and HIV symptom review),Symptoms,"TuberculosisSymptom.TuberculosisSymptomSevereFatigue; HIVSymptom.HIVSymptomFatigue",medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-004,Drug,N/A,Rifampicin,Rifampicin (anti-TB),Medications,(individual medication - TB first-line),high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-005,Drug,N/A,Isoniazid,Isoniazid (anti-TB),Medications,(individual medication - TB first-line),high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-006,Drug,N/A,Pyrazinamide,Pyrazinamide (anti-TB),Medications,(individual medication - TB first-line),high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-007,Drug,N/A,Ethambutol,Ethambutol (anti-TB),Medications,(individual medication - TB first-line),high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-008,Drug,N/A,Rifampicin + Isoniazid + Pyrazinamide + Ethambutol,RHZE fixed-dose combination (TB intensive phase),Medications,TuberculosisPrescribedMedication.MedicationRHZE,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-TB-009,Drug,N/A,Rifampicin + Isoniazid,RH fixed-dose combination (TB continuation phase),Medications,TuberculosisPrescribedMedication.MedicationRH,high
