id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0028,Gastrointestinal Infection without Complications,Indwara yo mu nda yoroheje,Ingwara yo mu mara/m'umushishito ata ngorane zijanye nazo,Caabuqa Caloosha aan lahayn Waxyeello,translation,DiagnosisGastrointestinalInfectionUncomplicated,AcuteIllnessDiagnosis.DiagnosisGastrointestinalInfectionUncomplicated,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0029,Simple Cold and Cough,Ibicurane n'inkorora byoroheje,Imbeho hamwe n'inkorora biswnzwe,Qufac iyo Qarqaryo fudud,translation,DiagnosisSimpleColdAndCough,AcuteIllnessDiagnosis.DiagnosisSimpleColdAndCough,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0030,Acute Respiratory Infection with Complications,Indwara y'ubuhumekero ikabije,Indwara ikaze ifatira mubihimba vy'ihemero hamwe n'ingorane ziyiherekeje,Caabuqa Neefsashada ku dhaca ee leh dhibaatadu la socoto,translation,DiagnosisRespiratoryInfectionComplicated,AcuteIllnessDiagnosis.DiagnosisRespiratoryInfectionComplicated,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0031,Uncomplicated Pneumonia,Umusonga woroheje,Hiketswe ingwara y'umusonga igoye,Oof wareen aan waxyeello lahayn`,translation,DiagnosisRespiratoryInfectionUncomplicated,AcuteIllnessDiagnosis.DiagnosisRespiratoryInfectionUncomplicated,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0032,Fever of Unknown Origin,Umuriro utazi icyawuteye,Ubushuhe bitazwi iyo bwazananye,Qandho aan asalkeeda la garanayn,translation,DiagnosisFeverOfUnknownOrigin,AcuteIllnessDiagnosis.DiagnosisFeverOfUnknownOrigin,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0033,Undetermined - More Evaluation Needed,Ntibisobanutse - Hakenewe Isuzuma Ryimbitse,Ntibimenyekana - Isuzuma ryinshi rirakenewe,Aan la xaqiijinin - U baahan Qiimeyn dheeraad ah,translation,DiagnosisUndeterminedMoreEvaluationNeeded,AcuteIllnessDiagnosis.DiagnosisUndeterminedMoreEvaluationNeeded,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0034,Tuberculosis Suspect,,,,translation,DiagnosisTuberculosisSuspect,AcuteIllnessDiagnosis.DiagnosisTuberculosisSuspect,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0035,No Diagnosis,,Nta Gupima/gusuzuma,Ma jiro Baaritaan,translation,NoAcuteIllnessDiagnosis,AcuteIllnessDiagnosis.NoAcuteIllnessDiagnosis,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0036,Suspected COVID-19,Aracyekwaho indwara ya COVID-19,Hiketswe umugera wa COVID-19,Looga shakisan yahay COVID-19,translation,DiagnosisCovid19Suspect,AcuteIllnessDiagnosis.DiagnosisCovid19Suspect,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0037,Acute Illness Progress Report Initiator,,,,fallback,,AcuteIllnessProgressReportInitiator,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_type,Coded
EHEZA-0038,Initiator Encounter Page,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorEncounterPage,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0039,Initiator Individual Nutrition Progress Report,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorIndividualNutritionProgressReport,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0040,Initiator Well Child Progress Report,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorWellChildProgressReport,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0041,Initiator Group Nutrition Progress Report,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorGroupNutritionProgressReport,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0042,Initiator Patient Record,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorPatientRecord,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0043,Initiator NCD Progress Report,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorNCDProgressReport,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
EHEZA-0044,Initiator Child Scoreboard Progress Report,,,,fallback,,AcuteIllnessProgressReportInitiator.InitiatorChildScoreboardProgressReport,client/src/elm/Backend/AcuteIllnessEncounter/Types.elm,union_constructor,N/A
