id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-U-0605,MedicationCausingHypertension.MedicationOestrogens,Oestrogens (Family Planning),Umusemburo wa Estrogene,Umusemburo wa Oestrogène,Istorojiin (Kala Korinta Carruurta)
EHEZA-U-0606,MedicationCausingHypertension.MedicationSteroids,Steroids (Prednisolone),Umusemburo wa iteroyide,Umusemburo wa Stéroïdes (prednisolone),Xanuun baabi`iyaal
EHEZA-U-0607,MedicationCausingHypertension.MedicationAmitriptyline,Amitriptyline,Amitiributiline,Amitriptyline,
EHEZA-U-0608,MedicationCausingHypertension.MedicationIbuprofen,Ibuprofen (Diclofenac),Ibiporofene cg Dikolofenake,Ibuprofène (Diclofénac),
EHEZA-U-0609,MedicationCausingHypertension.NoMedicationCausingHypertension,None of the Above,Nta na kimwe,Nta nimwe muri izo ziri hejuru,Midna kor ku xusan
EHEZA-U-0610,MedicalCondition.MedicalConditionKidneyDisease,Kidney Disease,Indwara y'impyiko,Ingwara y'amafyigo,
EHEZA-U-0611,MedicalCondition.MedicalConditionPregnancyRelatedHypertension,Pregnancy Related Hypertension,Umuvuduko w'amaraso utewe no gutwita,Umuvuduko w'amaraso ujanye n'imbanyi,Dhhig karka la xiriira Uurka
EHEZA-U-0612,MedicalCondition.MedicalConditionNeuropathy,Neuropathy,Indwara z'imyakura,Neuropathie,Caabuqa Dareen sidaha
EHEZA-U-0613,MedicalCondition.MedicalConditionRentalComplications,Rental Complications,Ibibazo bitewe no kwangirika kw'impyiko,Ingorane zo gukota,
EH-NCD-019,MedicalCondition.MedicalConditionTuberculosis,Tuberculosis,Igituntu,Igituntu,Qaaxo
EHEZA-U-0614,MedicalCondition.MedicalConditionEyeComplications,Eye Complications,Ibibazo by'amaso,Ingorane zirenze z'amaso,Waxyeelo Indhaha ah
EH-NCD-023,MedicalCondition.MedicalConditionAnemia,Anemia,Indwara y'amaraso make,Igabanuka ry'amaraso,
EHEZA-U-0615,MedicationDistribution,Medication Distribution,Gutanga Imiti,Itangwa ry'imiti,Qeybinta Dawada
EH-NCD-046,MedicationTreatingDiabetes.MedicationMetformin,Metformin,Metiforumine,Metformine,
EH-NCD-047,MedicationTreatingDiabetes.MedicationGlibenclamide,Glibenclamide,Girimbenkalamide,Glibenclamide,
EH-NCD-048,MedicationTreatingDiabetes.MedicationInsulin,Insulin,Insuline,Insuline,Insuliin
EHEZA-U-0616,MedicationTreatingHypertension.MedicationAceInhibitors,Ace-Inhibitors (Example: Captopril),Caputopili,Imiti ibuza ECA (Enzyme de Conversion Angiotensine),
EHEZA-U-0617,MedicationTreatingHypertension.MedicationARBs,Angiotensine Receptor Blockers (ARBs),Anjiyotensine,Ibihagarika ukwakira vya Angiotensine,
EHEZA-U-0618,MedicationTreatingHypertension.MedicationHCTZ,HCTZ,Idolokotiyazide,Hydrochlorothiazide,
EHEZA-U-0619,MedicationTreatingHypertension.MedicationCalciumChannelBlockers,Calcium Channel Blockers,Kalisiyumu,Ibibuza ukuyobora kwa Kalisiyumu,
EHEZA-U-0620,MedicationTreatingHypertension.MedicationBetaBlockers,Beta-Blockers,Beta boloka,Umurwi w'imiti ifasha umutima mu gihe utera nabi,
EH-NCD-045,MedicationTreatingHypertension.MedicationHydralazine,Hydralazine,Idaralazine,Hydralazine,
EH-NCD-044,MedicationTreatingHypertension.MedicationMethyldopa,Methyldopa,,,
EHEZA-U-0621,MedicalConditions,Medical conditions,Ibibazo by’ubuzima,,
EHEZA-U-0622,MedicalDiagnosis,Medical Diagnosis,Uburwayi bwemejwe na Muganga,Isuzuma ryo kwa muganga,Baaritaan Caafimaad
EHEZA-U-0623,MedicalHistory,Medical History,Amateka y'uburwayi busanzwe,Akahise ko m'ubuvuzi,Taariikhda Xanuunka
EHEZA-U-0624,MedicalHistoryMentalHealthIssue.MentalHealthIssueGeneralDepression,General Depression, Indwara yo guhangayika muri rusange,,
EHEZA-U-0625,MedicalHistoryMentalHealthIssue.MentalHealthIssuePerinatalDepression,Perinatal Depression,Indwara yo guhangayika mu gihe atwite,,
EHEZA-U-0626,MedicalHistoryMentalHealthIssue.MentalHealthIssueSchizophrenia,Schizophrenia,Ibisazi,,
EHEZA-U-0627,MedicalHistoryMentalHealthIssue.MentalHealthIssueTrauma,Trauma,Ihungabana,,
EHEZA-U-0628,MedicalHistoryPhysicalCondition.PhysicalConditionUterineMyomaCurrent,Uterine Myoma Current,Ikibyimba kikiri muri Nyababyeyi,,
EHEZA-U-0629,MedicalHistoryPhysicalCondition.PhysicalConditionUterineMyomaSurgicalResection,Uterine Myoma Surgical Resection,Ikibyimna cyakuwe muri nyababyeyi ibazwe,,
EHEZA-U-0630,Medication,Medication,Gufata Imiti,Gufata Imiti,Dawo
EHEZA-U-0631,MedicationDistributionSign.Amoxicillin,Amoxicillin,,,
EHEZA-U-0632,MedicationDistributionSign.Aspirin,Aspirin,,,
EHEZA-U-0633,MedicationDistributionSign.Coartem,Coartem,Kowariteme,,
EHEZA-U-0634,MedicationDistributionSign.ORS,Oral Rehydration Solution (ORS),SRO,SRO,
EHEZA-U-0635,MedicationDistributionSign.Zinc,Zinc,,,
EHEZA-U-0636,MedicationDistributionSign.LemonJuiceOrHoney,Lemon Juice and/or Honey,Umutobe w'indimu n'ubuki,,
EHEZA-U-0637,MedicationDistributionSign.Paracetamol,Paracetamol,,,
EH-HIV-003,MedicationDistributionSign.Tenofovir,Tenofovir,,,
EHEZA-U-0638,MedicationDistributionSign.Lamivudine,Lamivudine,,,
EHEZA-U-0639,MedicationDistributionSign.Dolutegravir,Dolutegravir,,,
EH-HIV-007,MedicationDistributionSign.TDF3TC,TDF + 3TC,,,
EHEZA-U-0640,MedicationDistributionSign.Iron,Iron,Fer,,
EH-PRE-050,MedicationDistributionSign.FolicAcid,Folic Acid,,Acide Folique,
EHEZA-U-0641,MedicationDistributionSign.Ceftriaxone,Ceftriaxone,,,
EHEZA-U-0642,MedicationDistributionSign.Azithromycin,Azithromycin,,,
EHEZA-U-0643,MedicationDistributionSign.Metronidazole,Metronidazole,,,
EHEZA-U-0644,MedicationDoxycycline,Doxycycline,,,
EHEZA-U-0645,MedicationHistory,Medication History,Amakuru ku miti yafashe,,Taariikhda Dawada
EHEZA-U-0646,MedicationTaken,Medication taken,Imiti yafashe,Imiti yafashwe,Dawada la Qaatay
EHEZA-U-0647,MentalHealthIssues,Mental health issues,Ibibazo by’ubuzima bwo mu mutwe,,
EHEZA-U-0648,MessagingTab.TabFavorites,Favorites,Ubutumwa wishimiye,,
EHEZA-U-0649,MessagingTab.TabSelfcare,Selfcare,Kwiyitaho,,
EHEZA-U-0650,MessagingTab.TabStress,Stress,Kunanirwa,,
EHEZA-U-0651,MessagingTab.TabMindfullnes,Mindfullnes,,,
EHEZA-U-0652,MMHGUnit,mmHG,,,
EHEZA-U-0653,MissedDoses,Missed Doses,,Incuro atafashe umuti,
EHEZA-U-0654,ModeOfDelivery.VaginalDelivery,Vaginal delivery with vacuum extraction,Yabyaye neza ariko hanifashishijwe icyuma gikurura umwana,Kuvyara ucishije mu gitsina hamwe no gukwega ibisigaye ukoreshe Vacuum,Dhalmada makaanka oo leh qalabka madax qabadka
EHEZA-U-0655,ModeOfDelivery.CesareanDelivery,Cesarean delivery,Yabyaye bamubaze,Gukorwa,
EH-PER-006,ModeOfDeliveryLabel,Mode of delivery,Uburyo yabyayemo,Uburyo yibarutsemo,Habka bixinta
EHEZA-U-0656,ModeratePreeclampsia,Moderate Preeclampsia,Preklampusi Yoroheje,Ingorane z'imbanyi kuva bisanzwe gushika hagati na hagati (izo ngorane ziba zivuye k'umuvuduko urenze w'amaraso),Dhiig Karka Dhexe ee Uurka
EHEZA-U-0657,Month,Month,Ukwezi,Ukwezi,Bil
EHEZA-U-0658,MonthsOfStock,Months of Stock,,,
EHEZA-U-0659,MostCommonAntiRetroviralMedications,Most Common Anti-Retroviral Medications,,Imiti ikoreshwa cane igabanya imigera ya SIDA,Dawada ugu badan ee Anti-Retroviral ah
EHEZA-U-0660,MotherId,Mother ID,,,
EHEZA-U-0661,MotherNameLabel,Mother's Name,Izina ry'umubyeyi,Izina rya mama,Magaca Hooyada
EHEZA-U-0662,MTDIn,MTD in,,,
EHEZA-U-0663,MTDOut,MTD out,,,
EHEZA-U-0664,MUAC,MUAC,Ikizigira cy'akaboko,Igipimo c'inkikuro y'ukuboko,
EHEZA-U-0665,Name,Name,Izina,Izina,Magaca
EHEZA-U-0666,NationalId,National ID,,,Aqoonsiga Qaran
