id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-U-0734,NumberOfChildrenUnder5,Number of Children under 5,Umubare w'abana bari munsi y'imyaka 5,Igitigiri c'abana bari munsi y'imyaka 5,Tirada Carruurta ka yar 5 sano
EHEZA-U-0735,NumberOfCSections,Number of C-Sections,Umubare w'inshuro yabazwe,Igitigiri c'abakozwe mu kwibaruka,Tirada Qalliinka Uurka
EHEZA-U-0736,NumberOfLiveChildren,Number of Live Children,Umubare w'abana bariho,Igitigiri c'abana bariho,Tirada Carruurta Nool
EHEZA-U-0737,NumberOfStillbirthsAtTerm,Number of Stillbirths at Term,Umubare w'abapfiriye mu nda bashyitse,"Igitigiri c'abavutse kw'itarike/ku gihe, bamaze gupfa ",Tirada Uur-Meydka ee bilo dhameestay
EHEZA-U-0738,NumberOfStillbirthsPreTerm,Number of Stillbirths pre Term,Umubare w'abapfiriye mu nda badashyitse,"Igitigiri c'abavutse itarike itaragera/igihe kitarashika, bamaze gupfa",Tirada Uur-Meydka ee aan bilo dhameysan
EHEZA-U-0739,Nutrition,Nutrition,Imirire,Ibijyanye n'ingaburo,Nafaqo
EHEZA-U-0740,NutritionAssessment.AssesmentAcuteMalnutritionModerate,Moderate Acute Malnutrition,Imirire  mibi yoroheje ije vuba,Ingwara yo gufungura nabi yoroheje,Nafaqo darrda Dhexe
EHEZA-U-0741,NutritionAssessment.AssesmentAcuteMalnutritionSevere,Severe Acute Malnutrition,Imirire  mibi ikabije ije vuba,Ingwara yo gufungura nabi ikaze,Nafaqo yari aad u daran
EHEZA-U-0742,NutritionAssessment.AssesmentUnderweightModerate,Moderately Underweight,Imirire mibi yoroheje ku biro,Ubuke bw'ibiro bisanzwe,Nafaqo yarada Dhexe
EHEZA-U-0743,NutritionAssessment.AssesmentUnderweightSevere,Severely Underweight,Imirire mibi ikabije ku biro,Ibiro bike cane,Aad u Miisaan yar
EHEZA-U-0744,NutritionAssessment.AssesmentDangerSignsNotPresent,Without Danger Signs,Nta bimenyetso mpuruza,Ata bimenyetso mburizi,Aan lahayn Calaamad Halis ah
EHEZA-U-0745,NutritionAssessment.AssesmentDangerSignsPresent,With Danger Signs,Ifite ibimenyetso mpuruza,Hamwe n'ibimenyetso mburizi,
EHEZA-U-0746,NutritionAssessment.AssesmentMalnutritionSigns,Malnutrition Signs,Ifite ibimenyetso mpuruza,Ibimenyetso vy'ingwara yo gufungura nabi,
EHEZA-U-0747,NutritionAssessment.AssesmentConsecutiveWeightLoss,Consecutive Weight Loss,Gutakaza ibiro mu buryo bwikurikiranije,Ukugabanuka ibiro vyikurikiranije,Miisaan Go` is xig-xiga
EHEZA-U-0748,NutritionAssessmentLabel,Nutrition Assessment,Gusuzuma imirire,Isuzuma ryo gufungura,Qiimeynta Nafaqada
EHEZA-U-0749,NutritionAssessmentTask.TaskHeadCircumference,Head Circumference,Umuzenguruko w'umutwe,Intikuro y'umutwe,
EHEZA-U-0750,NutritionBehavior,Nutrition Behavior,Imyumvire ku bijyanye n’imirire,Imitwarire yo gufungura neza,Dabeecada Nafaqeed
EHEZA-U-0751,NutritionCaringOption.CaredByParent,Parent,Umubyeyi,Umuvyeyi,Waalid
EHEZA-U-0752,NutritionCaringOption.CaredByGrandparent,Grandparent,Nyirakuru/Sekuru,Sogokuru/Nyogokuru,Abkow/Abooto
EHEZA-U-0753,NutritionCaringOption.CaredBySibling,Sibling,Umuvandimwe,umuvukanyi,Walaalo
EHEZA-U-0754,NutritionCaringOption.CaredByNeighbor,Neighbor,Umuturanyi,Umubanyi,Deris
EHEZA-U-0755,NutritionCaringOption.CaredByDaycare,Daycare,Irerero,Irerero ry'abana,Xanaano
EHEZA-U-0756,NutritionEncounterLabel,Nutrition Encounter,Isuzuma ry’imirire,Isuzumwa ry’ingaburo,Ogaanshaha Nafaqada
EHEZA-U-0757,NutritionSupplementType.FortifiedPorridge,Fortified Porridge,Igikoma kirimo Imyunyu ngugu na Vitamin,Ubuyi bukomejwe,Mushaarida Nafaqeysan
EHEZA-U-0758,NutritionSupplementType.Rutf,RUTF,RUTUFU,ATPE: Aliment Thérapeutique prêt à l'Emploi,
EHEZA-U-0759,NutritionSupplementType.TherapeuticMilk,Therapeutic Milk,Amata avura,Amata yo kuvura,Caanaha Daweysan
EHEZA-U-0760,Observations,Observations,Igenzura,Imyihwezo,U kuur gelid
EHEZA-U-0761,ObstetricalDiagnosis,Obstetric Diagnosis,Uburwayi bwemejwe n'inzobere mu gusuzuma abagore batwite,Isuzuma ry'ivyara,Baaritaanka Dhalmada
EHEZA-U-0762,ObstetricalDiagnosisAlert.DiagnosisModerateUnderweight,Moderate underweight,Ibiro bike bidakabije ugendeye ku myaka,Ubuke bw'ibiro bisanzwe,Nafaqo yaro Dhexe
EHEZA-U-0763,ObstetricalDiagnosisAlert.DiagnosisSevereUnderweight,Severe underweight,Afite ibiro bikie bikabije,Ibiro bike cane,Miisaan yari aad u daran
EHEZA-U-0764,ObstetricalDiagnosisAlert.DiagnosisObese,Obese,Kubyibuha gukabije,Ubuvyibuhe burenzeko,Buuran
EH-PRE-046,ObstetricalDiagnosisAlert.DisgnosisPeripheralEdema,Peripheral Edema,Kubyimba amaguru n'amaboko,Ukuvyimba kw'amaguru,Barar Addimaha ah
EHEZA-U-0765,ObstetricalDiagnosisAlert.DiagnosisFetusBreech,Fetus is in breech,Abanje ikibuno(umwana yaje yicaye),,
EHEZA-U-0766,ObstetricalDiagnosisAlert.DiagnosisFetusTransverse,Fetus is transverse,Umwana aritambitse,Umwana arakikamye,
EHEZA-U-0767,ObstetricalDiagnosisAlert.DiagnosisBreastExamination,Breast exam showed,Gusuzuma amabere byagaragaje,Ivyo igipimo c'amabere cerekanye,
EHEZA-U-0768,ObstetricalDiagnosisAlert.DiagnosisHypotension,Hypotension,Umuvuduko w'amaraso uri hasi,Umuvuduko wo hasi w'amaraso,
EHEZA-U-0769,ObstetricalDiagnosisAlert.DiagnosisPreeclampsiaHighRisk,High Risk for Preeclampsia,Afite ibyago byinshi byo kugira Preklampusi,Impavu y'ingoran ya Prééclampsie,
EHEZA-U-0770,ObstetricHistory,Obstetric History,Amateka y'inda zibanza (ku nda yatwise),Akahise k'ivyara,Taariikhda Dhalmada
EHEZA-U-0771,ObstetricHistoryStep2Sign.ObstetricHistoryIncompleteCervixPreviousPregnancy,Incompetent cervix,Inkondo y’umura idashobora gufunga neza,,
EHEZA-U-0772,ObstetricHistoryStep2Sign.ObstetricHistoryBabyDiedOnDayOfBirthPreviousDelivery,Newborn death within 24 hours after delivery,Urupfu rw’uruhinja mu masaha 24 nyuma yo kuvuka,,
EHEZA-U-0773,ObstetricHistoryStep2Sign.ObstetricHistoryPlacentaAbruptionPreviousDelivery,Placenta Abruption,Komoka kw’ingobyi y’umwana,,
EHEZA-U-0774,ObstetricHistoryStep2Sign.ObstetricHistorySevereHemorrhagingPreviousDelivery,Severe Hemorrhaging (>500 ml),Kuva cyane (>500 ml),,Dhiigbax aad u Daran (>500 ml)
EHEZA-U-0775,ObstetricHistoryStep2Sign.ObstetricHistoryConvulsionsPreviousDelivery,Seizures (Convulsions),Kugagara,,
EHEZA-U-0776,ObstetricHistoryStep2Sign.ObstetricHistoryConvulsionsAndUnconsciousPreviousDelivery,Seizures (Convulsions) with loss of consciousness,Kugagara birimo no gutakaza ubwenge,,
EHEZA-U-0777,ObstetricHistoryStep2Sign.ObstetricHistorySmallForGestationalAgePreviousDelivery,Small for gestational age,Umwana ni muto ugereranyije n'amezi y'inda,,
EHEZA-U-0778,ObstetricHistoryStep2Sign.ObstetricHistoryIntraUterineDeathPreviousDelivery,Intra-uterine death,Umwana yaphiriye mu nda,,
EHEZA-U-0779,Overweight,Overweight,Aftie ibiro byinshi,Ubunini burenzeko,Buurnaan xad dhaaf
EHEZA-U-0780,Overview,Overview,Ishusho Rusange,Incamake,Guud-mar
EHEZA-U-0781,PackagesPerMonth,packages / month,Amapaki ku kwezi,Amapaki ku kwezi,xirmooyin / bil
EHEZA-U-0782,Page,Page,Paji,Urupapuro,Bog
EH-PRE-036,PaleConjuctiva,Pale Conjunctiva,Ibihenehene byeruruka,Ihinduka ry'ibara ku maso,Indho Casaan
EH-PRE-045,Pallor,Pallor,Kweruruka (k'urugingo rw'umubiri),Ibara ryahindutse (ku mubiri),Casaan
EHEZA-U-0783,Para,Para,Imbyaro,Imbanyi zavutse,
EHEZA-U-0784,Participants,Participants,Ubwitabire,Abitavye,Ka qeyb galayaal
EHEZA-U-0785,ParticipantSignature,Participant Signature,Umukono w'umugenerwabikorwa,Umukono w'abitavye,Saxiixa ka Qeyb galaha
EHEZA-U-0786,ParticipantDemographicInformation,Participant Demographic Information,Umwirondoro w'umugenerwabikorwa,Amakuru y'ibiharuro vy'abitavye,Xogta Guud ee ka Qeyb galaha
EHEZA-U-0787,PartnerHIV,Partner HIV,Ikizamini cya Virusi itera SIDA k'umugabo we,Igipimo co kuraba umugera wa SIDA k'umushingantahe,
EHEZA-U-0788,PatientRecordFilter.FilterDemographics,Demographics,Umwirondoro,Ibiharuro vy'abantu,Dad-dhis
EHEZA-U-0789,PatientRecordFilter.FilterFamilyPlanning,Family Planning,Kuboneza Urubyaro,Kuvyara k'urugero,Kala Korinta Carruurta
EHEZA-U-0790,PauseEncounter,Pause Encounter,Igikorwa cyahagaritswe,Kuruhuka,
EHEZA-U-0791,Patients,Patients,Abagenerwabikorwa,Abagwayi,Bukaano
EHEZA-U-0792,Pediatrics,Pediatrics,,,
EHEZA-U-0793,PediatricVisit,Pediatric Visit,Isura ry'umwana,Kugendera abana,Booqashada Carruurta
EHEZA-U-0794,People,People,Abantu,Abantu,Dad
EHEZA-U-0795,Percentage,%,,,
EHEZA-U-0796,Person,Person,Umuntu,Umuntu,Qofka
EHEZA-U-0797,PertinentSymptoms,Pertinent Symptoms, Ibimenyetso by'ingenzi,Ibimenyetso bibandanya,Calaamado sii jira
EHEZA-U-0798,Photo,Photo,Ifoto,Ifoto,Sawir
EHEZA-U-0799,PhotosTransferStatus,Photos Transfer Status,Uko kohereza amafoto bihagaze,Indangakamere ry'irungikwa ry'amafoto,Xaalada Gudbinta Sawirka
EHEZA-U-0800,PhysicalConditions,Physical conditions,Ibibazo by’umubiri,,
EHEZA-U-0801,PhysicalExamTask.PhysicalExamCoreExam,Core Exam,Ikizamini cy'ingenzi,Ikibazo c'umushinge,Baaritaanka ugu Muhiimsan
EHEZA-U-0802,PhysicalExamTask.PhysicalExamAcuteFindings,Acute Findings,Ibimenyetso biziyeho,Ivyatowe bikaze,Natiijo billow ah
EHEZA-U-0803,PlacentaPrevia,Placenta Previa,Ingobyi iri hasi ku nkondo y'umura,Igitereko cugaye isohokera,Ibida Qalloocatay
EHEZA-U-0804,PointOfCare,Point of Care,,Impamvu yo kuvura,Barta Daryeelka
EHEZA-U-0805,PostpartumEncounter,Postpartum Encounter,Igikorwa cya nyuma yo kubyara,Umubonano inyuma yo kwibaruka,Ogaansha Dhalmada kadib
EHEZA-U-0806,PostpartumHealingProblem.NormalPostpartumHealing,Healing Normally,Ari gukira neza,Ugukira bisanzwe,Caadi u Bogsanaya
EHEZA-U-0807,PostpartumHealingProblem.HealingProblemSwelling,Swelling,Harabyimbye,Kuvyimba,Barar
EHEZA-U-0808,PostpartumHealingProblem.HealingProblemReleaseOfSutures,Release (lâchage) of sutures,Indodo zavuyemo,Gufundurura inyuzi,Sii deynta qodobyada
EHEZA-U-0809,PostpartumHealingProblem.HealingProblemHematoma,Hematoma,Igisebe cyajemo amaraso,Hématome,
EHEZA-U-0810,PostpartumHealingProblem.HealingProblemBruising,Bruising,imfunira/ahantu hasa n'umukara kubera amaraso atasohotse mu mubiri,Ugupfubirana,
EHEZA-U-0811,PostpartumChildDangerSign.PostpartumChildInabilityToSuckle,Inability to Suckle,Ntashobora konka,Kudashobora konka,Aan awwodin inuu nuugo
EHEZA-U-0812,PostpartumChildDangerSign.PostpartumChildLabouredBreathing,Laboured or Rapid Breathing,Guhumeka bigoranye cg guhumeka vuba vuba,Guhema nabi,
EHEZA-U-0813,PostpartumChildDangerSign.PostpartumChildAbnormalTemperature,High (Fever) or Low Temperature,Igipimo cy'ubushyuhe kiri hejuru cg kiri hasi,Ubushuhe buri hejuru (Ubushuhe/umuriro) canke hasi,Heerkul Hooseeya ama Sarreeya (Qandho)
EHEZA-U-0814,PostpartumChildDangerSign.PostpartumChildInactiveNoMovement,Inactive or No Movement,Uruhinja ntacyo rwumva cg ntirunyeganyega,Kidakora canke kidagenda,Daciif ah ama aan lahayn wax dhaqaaq ah
EHEZA-U-0815,PostpartumChildDangerSign.PostpartumChildBodyTurnedYellow,Whole Body Has Turned Yellow,Umubiri wose wabaye umuhondo,Umubiri wose wahindutse umutoto uhishiye,Jirka oo Dhan Wuxuu isu Bedelay Jaalle
EHEZA-U-0816,PostpartumMotherDangerSign.PostpartumMotheUterineBleeding,Excessive Uterinal Bleeding,Umubyeyi ava bikabije cyane,Kuva amaraso menshi/kuva amaraso cane mu gitereko,Dhiigbax Kaadihesyta aad u daran
EHEZA-U-0817,PostpartumMotherDangerSign.PostpartumMotherFever,High Temperature / Fever,Guhinda umuriro mwinshi/Umuriro,Ubushuhe bwaduze,Heer-kul Sarreeya / Qandho
EHEZA-U-0818,PostpartumMotherDangerSign.PostpartumMotherMigraine,Migraine,Umutwe umurya cyane,Ukumeneka umutwe igipande kimwe,Dhaanjaf
EHEZA-U-0819,PostpartumMotherDangerSign.PostpartumMotherAcuteAbdominalPain,Acute Abdominal Pain,Kuribwa mu nda cyane,Kubabara cane mu nda,Calool Xanuun soo Bood ah
EHEZA-U-0820,PostpartumMotherDangerSign.PostpartumMotherLabouredBreathing,Laboured Breathing,Guhumeka bigoranye,Uguhema uri ku gise,
EHEZA-U-0821,Predecessor.PredecessorFather,Father,Se,papa,Aabe
EHEZA-U-0822,Predecessor.PredecessorMother,Mother,Nyina,Mama,Hooyo
EHEZA-U-0823,Predecessor.PredecessorGrandFather,Grand-Father,Sekuru,Sogokuru,Awoowo
EHEZA-U-0824,Predecessor.PredecessorGrandMother,Grand-Mother,Nyirakuru,Nyogokuru,Ayeeyo
EH-NCD-015,Preeclampsia,Preeclampsia,Umuvuduko w'amaraso uza uje k'umugore twite (Preclampsia),Ivuduga ry'amaraso igihe c'imbanyi,Dhiig karka Uurka
EHEZA-U-0825,PregnancyConclusion,Pregnancy Conclusion,Iherezo ry'Inda,Icemezo c'imbanyi n'igihe cayo,Dhamaadka Uurka
EHEZA-U-0826,PregnancySignAnswerPositive.PregnancyEctopic,Ectopic (extrauterine),,,Uur meel ka baxsan (uurka dibitiisa)
EHEZA-U-0827,PregnancySignAnswerPositive.PregnancyMultipleFetuses,Multiple,,,Dhowr ilmo
EHEZA-U-0828,PregnancyStart,Pregnancy Start,Itangira ryo Gutwita,Intango y'imbanyi,Waqtiga Uurka Bilowday
EHEZA-U-0829,PregnancyTestResult.PregnancyTestUnableToConduct,Unable to conduct test,Ikizamini nticyakozwe,Ntibishoboka gukora igipimo,Ma sameyn karo baaritaan
EHEZA-U-0830,PregnancyTrimester.FirstTrimester,First Trimester,Igihembwe cya mbere,Igice ca mbere,Saddex-biloodka Koowaad
EHEZA-U-0831,PregnancyTrimester.SecondTrimester,Second Trimester,Igihembwe cya kabiri,Igice ca kabiri,Saddex-biloodka labaad
EHEZA-U-0832,PregnancyTrimester.ThirdTrimester,Third Trimester,Igihembwe cya gatatu,Igice ca 3,Saddex-biloodka Saddexaad
EH-PRE-070,PregnancyUrineTest,Urine Pregnancy Test,Ikizamini cy'inkari gisuzuma ko umugore atwite,Igipimo c'umukoyo w'imbanyi,Baaritaanka Kaadida ee Uurka
EHEZA-U-0833,PrenatalActivityTitle.PregnancyDating,Pregnancy Dating,Igihe inda imaze,Imibonano ijanye n'ivy'imbanyi,Waqtiyeynta Uurka
EHEZA-U-0834,PrenatalActivityTitle.BirthPlan,Birth Plan,Gutegura gahunda yo kubyara,Umupango wo kuvyara,
EHEZA-U-0835,PrenatalActivityTitle.MaternalMentalHealth,Maternal Mental Health,Ubuzima bwo mu mutwe ku mugore utwite,Ingwara yo mu mutwe ku muvyeyi ufise imbanyi,
EHEZA-U-0836,PrenatalActivityTitle.SpecialityCare,Specialty Care,Ubuvuzi bw'inzobere,Ubuvuzi bw'ubuhinga,Daryeel sare
EHEZA-U-0837,PrenatalActivityTitle.Ultrasound,Ultrasound,,,Baaritaanka Uur ku jirta
EHEZA-U-0838,PrenatalRecurrentActivitiesTitle.RecurrentExamination,Examination,Gusuzuma,Ikibazo,Baaritaan
EHEZA-U-0839,PrenatalRecurrentActivitiesTitle.RecurrentMalariaPrevention,Malaria Prevention,,Kwikingira Malariya,
EHEZA-U-0840,PrenatalAssesment.AssesmentNormalPregnancy,Routine Pregnancy Follow Up,Gukurikirana Umubyeyi Utwite Bisanzwe,Ikurikiranwa ry'imbanyi rya buri munsi,Ka war Qabka Joogtada ee Uurka
EHEZA-U-0841,PrenatalAssesment.AssesmentHighRiskPregnancy,High Risk Pregnancy,Inda Ibangamiwe n'ibibazo Bikomeye,Imbanyi iri mu ngorane yo hejuru,Uur Halistiisu Sarreyso
EHEZA-U-0842,PrenatalDiagnosis.DiagnosisSeverePreeclampsiaInitialPhase,Severe Preeclampsia,Preklampusi Ikabije,Severe Preeclampsia,Dhiig karka uurka oo aad u daran
EHEZA-U-0843,PrenatalDiagnosis.DiagnosisHIVDetectableViralLoadInitialPhase,Detectable HIV Viral Load,Agaragaza udukoko dutera virusi ya SIDA mu maraso,Afise umugera wa SIDA ugaragara,
EHEZA-U-0844,PrenatalDiagnosis.DiagnosisNeurosyphilisInitialPhase,Neurosyphilis,Mburugu yageze mu bwonko,Ingwara yo m'ubwonko,Jabtada Dareen Sidaha
EHEZA-U-0845,PrenatalDiagnosis.DiagnosisMalariaMedicatedContinuedInitialPhase,Malaria Continued,Uburwayi bwa Malariya buracyagaragara,Malariya irabandanya,Duumada way muuqataa weli
EHEZA-U-0846,PrenatalDiagnosis.DiagnosisModerateAnemiaInitialPhase,Mild to Moderate Anemia,Amaraso Macye byoroheje,Igabanuka ry'amaraso kuva bisanzwe,Dhiig la`aan u dhaxeysa mid hoose iyo mid dhexe
EHEZA-U-0847,PrenatalDiagnosis.DiagnosisSevereAnemiaWithComplicationsInitialPhase,Severe Anemia with Complications,Amaraso Macye Cyane n'Ibibazo Bishamikiyeho,Ibura ry'amaraso rikaze hamwe n'ingorane bijanye,Dhiig yari aad u daran oo leh waxyeello
EHEZA-U-0848,PrenatalDiagnosis.DiagnosisMiscarriage,Miscarriage,Inda yavuyemo,Ugukoroka kw'imbanyi,Umuliso biyaan
EHEZA-U-0849,PrenatalDiagnosis.DiagnosisMolarPregnancy,Molar Pregnancy,Atwite amahuri,Imbanyi idakomeye,Uur Beenaad
EHEZA-U-0850,PrenatalDiagnosis.DiagnosisPlacentalAbruption,Placental Abruption,Ingobyi yomotse hakiri kare,Itabuka ry'igitereko,Ibida Go`day
EHEZA-U-0851,PrenatalDiagnosis.DiagnosisUterineRupture,Uterine Rupture,Nyababyeyi yaturitse,uguturika kw'igitereko,Dillaaca Ilmo galeenka
EHEZA-U-0852,PrenatalDiagnosis.DiagnosisObstructedLabor,Obstructed Labor,Inda yanze kuvuka ,Igikorwa cabujijwe,
EHEZA-U-0853,PrenatalDiagnosis.DiagnosisPostAbortionSepsis,Post Abortion Sepsis,Afite uburwayi bwa infegisiyo yo mu maraso bwatewe no gukuramo inda,Birashoboka ko ingwara y'igitereko izamwo,Caabuqa Dhiciska kadib
EHEZA-U-0854,PrenatalDiagnosis.DiagnosisEctopicPregnancy,Ectopic Pregnancy,Yasamiye hanze y'umura,Imbanyi iri hanze y'Igitereko,
EHEZA-U-0855,PrenatalDiagnosis.DiagnosisPROM,Premature Rupture of Membranes (PROM),Isuha yamenetse hakiri kare,Itabuka ry'isimbizo y'umwana mu gitereko imbere yuko imbanyi ishika kw'itarike yayo/igihe cayo,
EHEZA-U-0856,PrenatalDiagnosis.DiagnosisPPROM,Preterm Premature Rupture of Membranes (PPROM),Isuha yamenetse hakiri kare inda itarageza igihe,Itabuka ry'isimbizo y'umwana mu gitereko imbere yuko imbanyi ishika kw'itarike yayo,
EHEZA-U-0857,PrenatalDiagnosis.DiagnosisHeartburnPersistent,Persistent Heartburn,Ikirungurira gihoraho,Ugusha mu mutima/mu nda bibandanya,Laab dillaaca Raaga 
EHEZA-U-0858,PrenatalDiagnosis.DiagnosisDeepVeinThrombosis,Deep Vein Thrombosis,Gufatana(Kuvura) gukabije kw'amaraso,Umutsi w'indani ufise Thrombose,
EHEZA-U-0859,PrenatalDiagnosis.DiagnosisPelvicPainIntense,Intense Pelvic Pain,Ububabare bukabije mu kiziba cy'inda,Ububabare bukomeye bwo mu nda yo hepfo,Xanuun Dhabarka ah oo daran
EHEZA-U-0860,PrenatalDiagnosis.DiagnosisPelvicPainContinued,Persistent Pelvic Pain,Ububabare buhoraho mu kiziba cy'inda,Ukubandanya kw'ububabare bwo mu nda yo hepfo,Dhabar Xanuunka Raaga
EHEZA-U-0861,PrenatalDiagnosis.DiagnosisUrinaryTractInfection,Urinary Tract Infection,Indwara y'ubwandu bw'umuyoboro w'inkari,Ingwara yo mu miringoti y'umukoyo,
EHEZA-U-0862,PrenatalDiagnosis.DiagnosisPyelonephritis,Pyelonephritis,Indwara yo kubyimba impyiko,Ingwara y'Amafyigo,Caabuqa Kellida
EHEZA-U-0863,PrenatalDiagnosisForProgressReport.DiagnosisNeurosyphilisInitialPhase,Suspected Neurosyphilis,Arakekwaho Mburugu yageze mu bwonko,Hiketswe ingwara y'ubwonko canke y'igiti c'umugongo,Looga shakisan yahay Neurosyphilis
EHEZA-U-0864,PrenatalDiagnosisForProgressReport.DiagnosisModerateAnemiaInitialPhase,Anemia (Mild to Moderate),Amaraso Macye (byoroheje),Igabanuka ry'amaraso (ryo hasi gushika hagati na hagati),
EHEZA-U-0865,PrenatalDiagnosisForProgressReport.DiagnosisSevereAnemiaInitialPhase,Anemia (Severe),Amaraso Macye (bikabije),Igabanuka ry'amaraso (rikomeye),
EHEZA-U-0866,PrenatalDiagnosisForProgressReport.DiagnosisSevereAnemiaWithComplicationsInitialPhase,Anemia (Severe with Complications),Amaraso Macye (Bikabije n'Ibibazo Bishamikiyeho),Igabanuka ry'amaraso (rikomeye hamwe n'inkurikizi zigoye),
EHEZA-U-0867,PrenatalDiagnosisForProgressReport.DiagnosisMiscarriage,Possible Miscarriage,Ashobora kuba yavanyemo inda,Birashoboka ko inda ikoroka,U eg Umuliso Biyaan
EHEZA-U-0868,PrenatalDiagnosisForProgressReport.DiagnosisMolarPregnancy,Possible Molar Pregnancy,Ashobora kuba atwite amahuri,Birashoboka ko mu mbanyi ata mwana ariyo,U eg Uur Beenaad
EHEZA-U-0869,PrenatalDiagnosisForProgressReport.DiagnosisPlacentaPrevia,Possible Placenta Previa,Ingobyi ishobora kuba iri hasi ku nkondo y'umura,Birashoboka ko isimbizo irimwo umwana yamanutse hepfo bigatuma umwana atavuka aciye aho yategerezwa guca,U eg Ibida meel khaldan ku abuurantay
EHEZA-U-0870,PrenatalDiagnosisForProgressReport.DiagnosisPlacentalAbruption,Possible Placental Abruption,Ingobyi ishobora kuba yomotse hakiri kare,Birashoboka ko isimbizo yitandukanye n'igitereko,U eg Ibida soo Go`day
EHEZA-U-0871,PrenatalDiagnosisForProgressReport.DiagnosisUterineRupture,Possible Uterine Rupture,Nyababyeyi ishobora kuha yaturitse,Birashoboka ko habaye ugutabuka kw'igitereko,U eg Dilaaca Minka
EHEZA-U-0872,PrenatalDiagnosisForProgressReport.DiagnosisObstructedLabor,Possible Obstructed Labor,Inda ishobora kuba yanze kuvuka ,Birashoboka ko umwana atasohoka ava mu gitereko kuko umuhora acamwo wiyugaye,U eg Fool Xanibantay
EHEZA-U-0873,PrenatalDiagnosisForProgressReport.DiagnosisPostAbortionSepsis,Possible Post Abortion Sepsis,Ashobora kuba afite uburwayi bwa infegisiyo yo mu maraso bwatewe no gukuramo inda,Birashoboka ko igitereko carwaye inyuma yaho imbanyi yavuyeyo giturumbuka,U eg Caabuqa Dhiciska kadib
EHEZA-U-0874,PrenatalDiagnosisForProgressReport.DiagnosisEctopicPregnancy,Possible Ectopic Pregnancy,Ashobora kuba yarasamiye hanze y'umura,Birashoboka ko afise imbanyi iri hanze y'igitereko,U eg Uur Beenaad
EHEZA-U-0875,PrenatalDiagnosisForProgressReport.DiagnosisPROM,PROM,Isuha yamenetse hakiri kare, Itabuka ry'isimbizo y'umwana mu gitereko imbere yuko imbanyi ishika kw'itarike yayo,
EHEZA-U-0876,PrenatalDiagnosisForProgressReport.DiagnosisPPROM,PPROM,Isuha yamenetse hakiri kare inda itarageza igihe,Itabuka ry'isimbizo y'umwana mu gitereko imbere yuko imbanyi ishika kw'itarike yayo,Ibi Dillaac
EHEZA-U-0877,PrenatalDiagnosisForProgressReport.DiagnosisHeartburn,Heartburn in pregnancy,Ikirungurira mu gihe umubyeyi atwite,Ugusha k'umutima mu gihe c'imbanyi,
EHEZA-U-0878,PrenatalDiagnosisForProgressReport.DiagnosisDeepVeinThrombosis,Possible DVT,"Ashobora kuba afite ibibazo by'imitsi, bituma amaraso adatembera neza mu mubiri",Birashoboka ko amaraso y'avuze indani mu mutsi (Thrombose),U eg DVT
EHEZA-U-0879,PrenatalDiagnosisForProgressReport.DiagnosisPelvicPainIntense,Severe pelvic pain in pregnancy,Ububabare bukabije mu kiziba cy'inda igihe umubyeyi atwite,Ububabare bwo mu nda yo hepfo bukaze mu gihe c'imbanyi,Dhabar Xanuun aad u daran xilliga uurka
EHEZA-U-0880,PrenatalDiagnosisForProgressReport.DiagnosisPelvicPainContinued,Persistent pelvic pain in pregnancy,Ububabare buhoraho mu kiziba cy'inda igihe umubyeyi atwite,Ukubandanya kw'ububabare bwo mu nda yo hepfo mu gihe c'imbanyi,Dhabar xanuunka raaga ee Uurka
EHEZA-U-0881,PrenatalDiagnosisForProgressReport.DiagnosisUrinaryTractInfection,Lower urinary tract infection,Indwara y'ubwandu bw'umuyoboro w'inkari wo hasi,Ingwara (yandukiye) yo m'uturingoti tw'umukoyo two munsi,
EHEZA-U-0882,PrenatalDiagnosisForProgressReport.DiagnosisPyelonephritis,Possible Pyelonephritis,Ashobora kuba afite Indwara yo kubyimba impyiko,Birashoboka ko amafyigo yarwaye bivuye ku miringoti y'umukoyo yarwaye nayo nyene,U eg Caabuqa Kellida
EHEZA-U-0883,PrenatalDiagnosisForProgressReport.DiagnosisPostpartumUrinaryIncontinence,Urinary Incontinence,Ntabasha kunyara,Ukutihangana hageze gusoba,
EHEZA-U-0884,PrenatalFlankPainSign.FlankPainLeftSide,Left side,Uruhande rw'ibumoso,Uruhande rw'ibubamfu,Dhinaca bidix
EHEZA-U-0885,PrenatalFlankPainSign.FlankPainRightSide,Right side,Uruhande rw'iburyo,Uruhande rw'iburyo,Dhinaca midig
EHEZA-U-0886,PrenatalFlankPainSign.FlankPainBothSides,Both sides,Impande zose,Impande zose,Labada dhinac
EHEZA-U-0887,PrenatalHealthEducationLabel.EducationNauseaVomiting,Nausea and Vomiting,Iseseme no kuruka,Iseseme no kudahwa,Lalabo iyo matag
EHEZA-U-0888,PrenatalHealthEducationLabel.EducationVaricoseVeins,Varicose Veins,Kubyimba kw'imitsi (imigarura) y'amaraso,Ivyimba ry'imitsi,Lugo Waraabow
EHEZA-U-0889,PrenatalHealthEducationLabel.EducationLegPainRedness,Leg Pain or Redness,Kubabara akaguru kamwe cyangwa gutukura ku kuguru kumwe,Ububabare no kubenjuka ku maguru,Lugo xanuun ama Gaduudnaasho
