resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-032/,SAME-AS,/orgs/PIH/sources/PIH/,5108,Abnormal gait,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-033/,SAME-AS,/orgs/PIH/sources/PIH/,10604,Dysarthria,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-034/,SAME-AS,/orgs/PIH/sources/PIH/,8582,Vision Loss,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-035/,SAME-AS,/orgs/PIH/sources/PIH/,20023,Blurred vision,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-036/,SAME-AS,/orgs/PIH/sources/PIH/,3486,Orthopnea,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-037/,SAME-AS,/orgs/PIH/sources/PIH/,12488,Paroxysmal nocturnal dyspnea,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-038/,SAME-AS,/orgs/PIH/sources/PIH/,456,Low back pain,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-039/,SAME-AS,/orgs/PIH/sources/PIH/,8600,Neck pain,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-040/,SAME-AS,/orgs/PIH/sources/PIH/,912,Ibuprofen,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-041/,SAME-AS,/orgs/PIH/sources/PIH/,10428,ACE inhibitors,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-042/,SAME-AS,/orgs/PIH/sources/PIH/,10434,ARBs (angiotensin II receptor blockers),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-043/,SAME-AS,/orgs/PIH/sources/PIH/,1243,Hydrochlorothiazide,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-044/,SAME-AS,/orgs/PIH/sources/PIH/,251,Methyldopa,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-045/,SAME-AS,/orgs/PIH/sources/PIH/,929,Hydralazine,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-046/,SAME-AS,/orgs/PIH/sources/PIH/,4052,Metformin,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-047/,SAME-AS,/orgs/PIH/sources/PIH/,4046,Glibenclamide,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-048/,SAME-AS,/orgs/PIH/sources/PIH/,14481,Insulin,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-049/,SAME-AS,/orgs/PIH/sources/PIH/,1552,History of alcohol use,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-050/,SAME-AS,/orgs/PIH/sources/PIH/,2545,History of tobacco use,medium
