resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-001/,SAME-AS,/orgs/PIH/sources/PIH/,1549,Pulmonary tuberculosis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-002/,SAME-AS,/orgs/PIH/sources/PIH/,1547,Extra-pulmonary tuberculosis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-003/,SAME-AS,/orgs/PIH/sources/PIH/,5949,Fatigue,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-004/,SAME-AS,/orgs/PIH/sources/PIH/,767,Rifampicin,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-005/,SAME-AS,/orgs/PIH/sources/PIH/,656,Isoniazid,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-006/,SAME-AS,/orgs/PIH/sources/PIH/,5829,Pyrazinamide,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-007/,SAME-AS,/orgs/PIH/sources/PIH/,745,Ethambutol,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-008/,SAME-AS,/orgs/PIH/sources/PIH/,1131,Rifampicin + Isoniazid + Pyrazinamide + Ethambutol,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-TB-009/,SAME-AS,/orgs/PIH/sources/PIH/,1194,Rifampicin + Isoniazid,high
