id,field_province,field_district,field_sector,field_cell,field_village,field_health_center,created
140,Banadir,Deynile,Koshin,Koshin,Koshin,4,1592244289
163,Banadir,Deynile,Zeytuun,Zeytuun,Zeytuun,4,1592244289
165,Banadir,Garasbaley,Iskaashi,Iskaashi,Iskaashi,5,1592244289
