id,field_province,field_district,field_sector,field_cell,field_village,field_health_center,created
140,Amajyaruguru,Gakenke,Coko,Mbirima,Akanduga,4,1592244289
163,Amajyaruguru,Gakenke,Coko,Nyange,Buhara,4,1592244289
165,Amajyaruguru,Gakenke,Muhondo,Busake,Busake,5,1592244289
188,Amajyaruguru,Gakenke,Muhondo,Bwenda,Gahama,5,1592244289
