id,field_province,field_district,field_sector,field_cell,field_village,field_health_center,created
140,Bururi,Vyanda,Gitsiro,Kigutu,Nyentambwe,4,1592244289
163,Bururi,Vyanda,Gitsiro,Kigutu,Gitsinda,4,1592244289
165,Bururi,Vyanda,Rweza,Migera,Kaganza,5,1592244289
188,Bururi,Vyanda,Rweza,Migera,Migera,5,1592244289
