Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Mpabwa,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Gishaka,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Kabuye,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Akanyiramugarura,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Urutarishonga,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Akigabiro,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyagasozi,Nyagasambu,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nkuzuzu,Akabenejuru,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nkuzuzu,Kityazo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nkuzuzu,Akimpama,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nkuzuzu,Akasedogo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nkuzuzu,Burima,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,kigabiro,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,Rukoma,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,Murarambo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,kiyoro,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,Nkona,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Mvuzo,Nyakabingo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Mbogo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Kigara,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Kamutamu,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Nyampamo,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Bushya,Bumbogo Health Center
Umujyi wa Kigali,Gasabo,Bumbogo,Nyabikenke,Karama,Bumbogo Health Center
