sex	age	l	m	s	SD2neg	SD1neg	SD0	SD1	SD2	SD3
1	142	1	148.0224	126.943	133.969	140.996	148.022	155.049	162.076	169.102
1	143	1	148.5478	127.38	134.436	141.492	148.548	155.604	162.66	169.716
1	144	1	149.0807	127.823	134.909	141.995	149.081	156.167	163.252	170.338
1	145	1	149.6212	128.278	135.392	142.507	149.621	156.736	163.85	170.965
1	146	1	150.1694	128.734	135.879	143.024	150.169	157.314	164.46	171.605
1	147	1	150.7256	129.207	136.38	143.553	150.726	157.899	165.072	172.245
1	148	1	151.2899	129.681	136.884	144.087	151.29	158.493	165.696	172.899
1	149	1	151.8623	130.167	137.399	144.631	151.862	159.094	166.326	173.557
1	150	1	152.4425	130.66	137.921	145.182	152.442	159.703	166.964	174.225
1	151	1	153.0298	131.163	138.452	145.741	153.03	160.319	167.607	174.896
1	152	1	153.6234	131.668	138.986	146.305	153.623	160.942	168.261	175.579
1	153	1	154.2223	132.185	139.531	146.877	154.222	161.568	168.914	176.259
1	154	1	154.8258	132.703	140.077	147.451	154.826	162.2	169.575	176.949
1	155	1	155.4329	133.228	140.629	148.031	155.433	162.835	170.236	177.638
1	156	1	156.0426	133.76	141.187	148.615	156.043	163.47	170.898	178.325
1	157	1	156.6539	134.293	141.747	149.2	156.654	164.107	171.561	179.015
1	158	1	157.2660	134.827	142.307	149.786	157.266	164.746	172.225	179.705
1	159	1	157.8775	135.361	142.867	150.372	157.878	165.383	172.888	180.394
1	160	1	158.4871	135.898	143.428	150.957	158.487	166.017	173.547	181.076
1	161	1	159.0937	136.437	143.989	151.542	159.094	166.646	174.198	181.75
1	162	1	159.6962	136.968	144.544	152.12	159.696	167.272	174.848	182.424
1	163	1	160.2939	137.5	145.098	152.696	160.294	167.892	175.49	183.088
1	164	1	160.8861	138.032	145.65	153.268	160.886	168.504	176.122	183.74
1	165	1	161.4720	138.559	146.197	153.834	161.472	169.11	176.747	184.385
1	166	1	162.0505	139.08	146.737	154.394	162.05	169.707	177.364	185.021
1	167	1	162.6207	139.594	147.269	154.945	162.621	170.296	177.972	185.648
1	168	1	163.1816	140.104	147.797	155.489	163.182	170.874	178.566	186.259
1	169	1	163.7321	140.611	148.318	156.025	163.732	171.439	179.146	186.853
1	170	1	164.2717	141.104	148.827	156.549	164.272	171.994	179.717	187.439
1	171	1	164.7994	141.592	149.328	157.064	164.799	172.535	180.271	188.006
1	172	1	165.3145	142.07	149.818	157.566	165.314	173.063	180.811	188.559
1	173	1	165.8165	142.541	150.299	158.058	165.816	173.575	181.334	189.092
1	174	1	166.3050	143.001	150.769	158.537	166.305	174.073	181.841	189.609
1	175	1	166.7799	143.449	151.226	159.003	166.78	174.557	182.334	190.111
1	176	1	167.2415	143.886	151.671	159.456	167.242	175.027	182.812	190.597
1	177	1	167.6899	144.317	152.108	159.899	167.69	175.481	183.272	191.063
1	178	1	168.1255	144.738	152.534	160.33	168.126	175.921	183.717	191.513
1	179	1	168.5482	145.147	152.947	160.748	168.548	176.349	184.149	191.949
1	180	1	168.9580	145.545	153.35	161.154	168.958	176.762	184.566	192.371
1	181	1	169.3549	145.938	153.744	161.549	169.355	177.16	184.966	192.772
1	182	1	169.7389	146.32	154.126	161.933	169.739	177.545	185.351	193.158
1	183	1	170.1099	146.691	154.497	162.304	170.11	177.916	185.723	193.529
1	184	1	170.4680	147.051	154.857	162.662	170.468	178.274	186.079	193.885
1	185	1	170.8136	147.4	155.205	163.009	170.814	178.618	186.423	194.227
1	186	1	171.1468	147.739	155.542	163.344	171.147	178.949	186.752	194.555
