Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
67.3	5.790	6.291	6.791	7.348	7.967	8.660	9.436	10.310	11.184
67.4	5.806	6.309	6.811	7.369	7.990	8.685	9.464	10.340	11.216
67.5	5.823	6.327	6.830	7.390	8.013	8.710	9.491	10.369	11.248
67.6	5.839	6.345	6.850	7.411	8.036	8.735	9.518	10.399	11.281
67.7	5.856	6.363	6.869	7.432	8.059	8.759	9.545	10.429	11.313
67.8	5.872	6.380	6.888	7.453	8.082	8.784	9.572	10.459	11.345
67.9	5.889	6.398	6.908	7.474	8.104	8.809	9.599	10.488	11.378
68.0	5.905	6.416	6.927	7.495	8.127	8.834	9.626	10.518	11.410
68.1	5.922	6.434	6.946	7.516	8.150	8.859	9.654	10.548	11.442
68.2	5.938	6.452	6.966	7.537	8.173	8.884	9.681	10.578	11.474
68.3	5.954	6.470	6.985	7.558	8.196	8.908	9.708	10.607	11.507
68.4	5.971	6.488	7.004	7.579	8.218	8.933	9.735	10.637	11.539
68.5	5.987	6.505	7.024	7.599	8.241	8.958	9.762	10.667	11.571
68.6	6.003	6.523	7.043	7.620	8.264	8.983	9.789	10.697	11.604
68.7	6.020	6.541	7.062	7.641	8.286	9.008	9.816	10.726	11.636
68.8	6.036	6.559	7.081	7.662	8.309	9.032	9.843	10.756	11.669
68.9	6.052	6.576	7.101	7.683	8.332	9.057	9.871	10.786	11.701
69.0	6.068	6.594	7.120	7.704	8.355	9.082	9.898	10.816	11.734
69.1	6.085	6.612	7.139	7.725	8.377	9.107	9.925	10.845	11.766
69.2	6.101	6.630	7.158	7.746	8.400	9.132	9.952	10.875	11.798
69.3	6.117	6.647	7.177	7.766	8.423	9.156	9.979	10.905	11.831
69.4	6.133	6.665	7.197	7.787	8.445	9.181	10.006	10.934	11.863
69.5	6.150	6.683	7.216	7.808	8.468	9.206	10.033	10.964	11.895
69.6	6.166	6.700	7.235	7.829	8.491	9.230	10.060	10.994	11.927
69.7	6.182	6.718	7.254	7.850	8.513	9.255	10.087	11.023	11.960
69.8	6.198	6.735	7.273	7.870	8.536	9.280	10.114	11.053	11.992
69.9	6.214	6.753	7.292	7.891	8.558	9.304	10.141	11.083	12.025
70.0	6.230	6.771	7.311	7.912	8.581	9.329	10.168	11.112	12.057
70.1	6.246	6.788	7.330	7.932	8.603	9.353	10.195	11.142	12.089
70.2	6.262	6.805	7.349	7.953	8.626	9.378	10.222	11.172	12.121
70.3	6.278	6.823	7.368	7.973	8.648	9.402	10.248	11.201	12.153
70.4	6.294	6.840	7.387	7.994	8.670	9.427	10.275	11.230	12.185
70.5	6.310	6.858	7.406	8.014	8.693	9.451	10.302	11.259	12.217
70.6	6.326	6.875	7.424	8.035	8.715	9.476	10.329	11.289	12.249
70.7	6.341	6.892	7.443	8.055	8.737	9.500	10.355	11.318	12.281
70.8	6.357	6.909	7.462	8.075	8.759	9.524	10.382	11.348	12.313
70.9	6.373	6.927	7.480	8.096	8.782	9.548	10.408	11.377	12.345
71.0	6.389	6.944	7.499	8.116	8.804	9.572	10.435	11.406	12.377
71.1	6.404	6.961	7.518	8.136	8.826	9.597	10.461	11.435	12.409
71.2	6.420	6.978	7.536	8.156	8.848	9.621	10.488	11.464	12.440
71.3	6.436	6.995	7.555	8.177	8.870	9.645	10.514	11.493	12.472
