Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
52.8	2.805	3.073	3.342	3.643	3.984	4.370	4.810	5.314	5.818
52.9	2.823	3.092	3.362	3.666	4.008	4.397	4.840	5.347	5.854
53.0	2.840	3.112	3.383	3.688	4.033	4.424	4.870	5.380	5.890
53.1	2.857	3.131	3.404	3.711	4.058	4.452	4.900	5.413	5.927
53.2	2.875	3.150	3.425	3.734	4.083	4.479	4.930	5.447	5.964
53.3	2.893	3.169	3.446	3.757	4.108	4.507	4.961	5.481	6.001
53.4	2.910	3.189	3.467	3.780	4.134	4.535	4.992	5.515	6.038
53.5	2.928	3.208	3.488	3.803	4.159	4.563	5.022	5.549	6.075
53.6	2.946	3.228	3.510	3.827	4.185	4.591	5.053	5.583	6.113
53.7	2.964	3.248	3.531	3.850	4.210	4.619	5.084	5.617	6.150
53.8	2.982	3.267	3.553	3.873	4.236	4.647	5.115	5.652	6.188
53.9	3.000	3.287	3.574	3.897	4.262	4.675	5.147	5.686	6.226
54.0	3.018	3.307	3.596	3.921	4.288	4.704	5.178	5.721	6.264
54.1	3.036	3.327	3.617	3.944	4.314	4.732	5.209	5.756	6.302
54.2	3.054	3.347	3.639	3.968	4.340	4.761	5.241	5.791	6.340
54.3	3.073	3.367	3.661	3.992	4.366	4.789	5.272	5.826	6.379
54.4	3.091	3.387	3.683	4.016	4.392	4.818	5.304	5.861	6.417
54.5	3.109	3.407	3.705	4.040	4.418	4.847	5.336	5.896	6.456
54.6	3.128	3.427	3.727	4.064	4.444	4.876	5.368	5.931	6.494
54.7	3.146	3.447	3.749	4.088	4.470	4.905	5.400	5.966	6.533
54.8	3.165	3.468	3.771	4.112	4.497	4.934	5.432	6.002	6.572
54.9	3.183	3.488	3.793	4.136	4.523	4.963	5.464	6.037	6.610
55.0	3.202	3.508	3.815	4.160	4.550	4.992	5.496	6.073	6.650
55.1	3.220	3.529	3.837	4.184	4.576	5.021	5.528	6.108	6.689
55.2	3.239	3.549	3.859	4.209	4.603	5.050	5.560	6.144	6.728
55.3	3.258	3.570	3.882	4.233	4.630	5.079	5.592	6.180	6.767
55.4	3.276	3.590	3.904	4.257	4.656	5.109	5.624	6.215	6.806
55.5	3.295	3.611	3.926	4.281	4.683	5.138	5.657	6.251	6.845
55.6	3.313	3.631	3.949	4.306	4.709	5.167	5.689	6.287	6.884
55.7	3.332	3.652	3.971	4.330	4.736	5.197	5.721	6.323	6.924
55.8	3.351	3.672	3.993	4.355	4.763	5.226	5.754	6.358	6.963
55.9	3.370	3.693	4.016	4.379	4.790	5.255	5.786	6.394	7.002
56.0	3.388	3.713	4.038	4.403	4.816	5.285	5.818	6.430	7.041
56.1	3.407	3.734	4.060	4.428	4.843	5.314	5.851	6.466	7.081
56.2	3.426	3.754	4.083	4.452	4.870	5.343	5.883	6.502	7.120
56.3	3.444	3.775	4.105	4.477	4.896	5.373	5.916	6.537	7.159
56.4	3.463	3.795	4.127	4.501	4.923	5.402	5.948	6.573	7.199
56.5	3.482	3.816	4.150	4.526	4.950	5.432	5.980	6.609	7.238
56.6	3.501	3.836	4.172	4.550	4.977	5.461	6.013	6.645	7.277
56.7	3.519	3.857	4.194	4.574	5.003	5.490	6.045	6.681	7.317
56.8	3.538	3.878	4.217	4.599	5.030	5.520	6.078	6.717	7.356
56.9	3.557	3.898	4.239	4.623	5.057	5.549	6.110	6.753	7.395
57.0	3.576	3.919	4.262	4.648	5.084	5.579	6.143	6.789	7.435
57.1	3.594	3.939	4.284	4.672	5.110	5.608	6.175	6.824	7.474
57.2	3.613	3.960	4.306	4.696	5.137	5.637	6.207	6.860	7.513
57.3	3.632	3.980	4.329	4.721	5.164	5.667	6.240	6.896	7.552
57.4	3.650	4.001	4.351	4.745	5.191	5.696	6.272	6.932	7.592
57.5	3.669	4.021	4.373	4.770	5.217	5.725	6.304	6.968	7.631
