Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
52.8	2.820	3.080	3.339	3.630	3.956	4.322	4.736	5.205	5.674
52.9	2.838	3.100	3.361	3.653	3.981	4.349	4.765	5.237	5.709
53.0	2.857	3.120	3.383	3.677	4.006	4.377	4.795	5.270	5.744
53.1	2.876	3.140	3.405	3.700	4.032	4.404	4.825	5.302	5.779
53.2	2.895	3.161	3.427	3.724	4.057	4.432	4.855	5.335	5.814
53.3	2.914	3.182	3.449	3.748	4.083	4.460	4.885	5.368	5.850
53.4	2.933	3.202	3.472	3.772	4.109	4.488	4.916	5.401	5.886
53.5	2.953	3.223	3.494	3.796	4.135	4.517	4.947	5.434	5.922
53.6	2.972	3.245	3.517	3.821	4.162	4.545	4.978	5.468	5.958
53.7	2.992	3.266	3.540	3.846	4.188	4.574	5.009	5.502	5.995
53.8	3.012	3.287	3.563	3.871	4.215	4.603	5.040	5.536	6.032
53.9	3.032	3.309	3.586	3.895	4.242	4.632	5.072	5.570	6.069
54.0	3.052	3.330	3.609	3.921	4.269	4.661	5.104	5.605	6.106
54.1	3.072	3.352	3.633	3.946	4.296	4.691	5.136	5.639	6.143
54.2	3.092	3.374	3.656	3.971	4.324	4.720	5.168	5.674	6.181
54.3	3.112	3.396	3.680	3.997	4.351	4.750	5.200	5.709	6.218
54.4	3.133	3.418	3.704	4.022	4.379	4.780	5.232	5.744	6.256
54.5	3.153	3.440	3.727	4.048	4.407	4.810	5.264	5.779	6.294
54.6	3.174	3.463	3.751	4.074	4.434	4.840	5.297	5.815	6.332
54.7	3.195	3.485	3.775	4.099	4.462	4.870	5.330	5.850	6.371
54.8	3.215	3.507	3.799	4.125	4.490	4.900	5.363	5.886	6.409
54.9	3.236	3.530	3.824	4.152	4.518	4.931	5.396	5.922	6.448
55.0	3.257	3.553	3.848	4.178	4.547	4.961	5.428	5.957	6.486
55.1	3.278	3.575	3.872	4.204	4.575	4.992	5.462	5.993	6.525
55.2	3.299	3.598	3.897	4.230	4.603	5.022	5.495	6.029	6.564
55.3	3.320	3.621	3.921	4.257	4.632	5.053	5.528	6.066	6.603
55.4	3.342	3.644	3.946	4.283	4.660	5.084	5.562	6.102	6.642
55.5	3.363	3.667	3.971	4.310	4.689	5.115	5.595	6.138	6.681
55.6	3.384	3.690	3.996	4.337	4.718	5.146	5.629	6.175	6.721
55.7	3.406	3.713	4.020	4.363	4.747	5.178	5.663	6.211	6.760
55.8	3.427	3.736	4.045	4.390	4.776	5.209	5.696	6.248	6.800
55.9	3.449	3.760	4.070	4.417	4.805	5.240	5.730	6.285	6.839
56.0	3.470	3.783	4.095	4.444	4.834	5.271	5.764	6.322	6.879
56.1	3.492	3.806	4.121	4.471	4.863	5.303	5.798	6.358	6.919
56.2	3.514	3.830	4.146	4.498	4.892	5.334	5.832	6.395	6.958
56.3	3.535	3.853	4.171	4.525	4.921	5.366	5.866	6.432	6.998
56.4	3.557	3.876	4.196	4.552	4.950	5.397	5.901	6.469	7.038
56.5	3.579	3.900	4.221	4.579	4.980	5.429	5.935	6.506	7.078
56.6	3.600	3.923	4.246	4.606	5.009	5.460	5.969	6.543	7.118
56.7	3.622	3.947	4.272	4.633	5.038	5.492	6.003	6.581	7.158
56.8	3.644	3.970	4.297	4.661	5.067	5.524	6.037	6.617	7.198
56.9	3.666	3.994	4.322	4.688	5.097	5.555	6.071	6.655	7.238
57.0	3.687	4.017	4.347	4.715	5.126	5.587	6.106	6.692	7.278
57.1	3.709	4.041	4.373	4.742	5.155	5.618	6.140	6.728	7.317
57.2	3.731	4.064	4.398	4.769	5.184	5.650	6.174	6.766	7.357
57.3	3.753	4.088	4.423	4.796	5.214	5.682	6.208	6.803	7.397
57.4	3.775	4.111	4.448	4.824	5.243	5.713	6.242	6.840	7.437
57.5	3.796	4.135	4.474	4.851	5.272	5.745	6.276	6.877	7.477
57.6	3.818	4.159	4.499	4.878	5.301	5.776	6.310	6.913	7.517
57.7	3.840	4.182	4.524	4.905	5.331	5.808	6.344	6.950	7.556
57.8	3.862	4.206	4.549	4.932	5.360	5.839	6.378	6.987	7.596
57.9	3.884	4.229	4.574	4.959	5.389	5.871	6.412	7.024	7.636
58.0	3.905	4.252	4.599	4.986	5.418	5.902	6.447	7.061	7.676
58.1	3.927	4.276	4.625	5.013	5.447	5.933	6.480	7.098	7.715
58.2	3.949	4.299	4.650	5.040	5.476	5.965	6.514	7.135	7.755
58.3	3.970	4.323	4.675	5.067	5.505	5.996	6.548	7.171	7.794
58.4	3.992	4.346	4.700	5.094	5.534	6.028	6.582	7.208	7.834
58.5	4.013	4.369	4.725	5.121	5.563	6.059	6.616	7.245	7.873
58.6	4.035	4.393	4.750	5.148	5.592	6.090	6.650	7.281	7.913
